"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2023","1,072.00","1,072.00","1,072.00","1,072.00","","-0.46%"
"05/04/2023","1,077.00","1,077.00","1,077.00","1,077.00","","1.51%"
"05/03/2023","1,061.00","1,061.00","1,061.00","1,061.00","","2.71%"
"05/02/2023","1,033.00","1,033.00","1,033.00","1,033.00","","-1.24%"
"04/28/2023","1,046.00","1,046.00","1,046.00","1,046.00","","-0.66%"
"04/27/2023","1,053.00","1,053.00","1,053.00","1,053.00","","-1.40%"
"04/26/2023","1,068.00","1,068.00","1,068.00","1,068.00","","-4.47%"
"04/25/2023","1,118.00","1,118.00","1,118.00","1,118.00","","-1.67%"
"04/24/2023","1,137.00","1,137.00","1,137.00","1,137.00","","-0.79%"
"04/21/2023","1,146.00","1,146.00","1,146.00","1,146.00","","0.00%"
"04/20/2023","1,146.00","1,146.00","1,146.00","1,146.00","","-2.39%"
"04/19/2023","1,174.00","1,174.00","1,174.00","1,174.00","","-1.92%"
"04/18/2023","1,197.00","1,197.00","1,197.00","1,197.00","","-1.80%"
"04/17/2023","1,219.00","1,219.00","1,219.00","1,219.00","","-1.85%"
"04/14/2023","1,242.00","1,242.00","1,242.00","1,242.00","","-1.11%"
"04/13/2023","1,256.00","1,256.00","1,256.00","1,256.00","","-1.57%"
"04/12/2023","1,276.00","1,276.00","1,276.00","1,276.00","","-1.47%"
"04/11/2023","1,295.00","1,295.00","1,295.00","1,295.00","","-1.82%"
"04/06/2023","1,319.00","1,319.00","1,319.00","1,319.00","","-0.98%"
"04/05/2023","1,332.00","1,332.00","1,332.00","1,332.00","","-0.15%"
"04/04/2023","1,334.00","1,334.00","1,334.00","1,334.00","","-2.13%"
"04/03/2023","1,363.00","1,363.00","1,363.00","1,363.00","","-4.55%"
"03/31/2023","1,428.00","1,428.00","1,428.00","1,428.00","","-3.58%"
"03/30/2023","1,481.00","1,481.00","1,481.00","1,481.00","","-1.79%"
"03/29/2023","1,508.00","1,508.00","1,508.00","1,508.00","","-2.39%"
"03/28/2023","1,545.00","1,545.00","1,545.00","1,545.00","","-2.65%"
"03/27/2023","1,587.00","1,587.00","1,587.00","1,587.00","","-2.16%"
"03/24/2023","1,622.00","1,622.00","1,622.00","1,622.00","","-1.22%"
"03/23/2023","1,642.00","1,642.00","1,642.00","1,642.00","","-0.36%"
"03/22/2023","1,648.00","1,648.00","1,648.00","1,648.00","","0.37%"
